站號,站名,地址,站別,區域,資料起始日期,撤站日期,城市,經度,緯度,海拔高度(m),備註,原站號,新站號,運作狀態
12J990,口湖工作站,口湖鄉口湖村成功路180號,農業站,中部,2018/9/10,,雲林縣,120.180394,23.589978,10,,,,運行中
12Q970,東港工作站,東港鎮興東里興東路65-18號,農業站,南部,2018/9/21,,屏東縣,120.466058,22.479997,16,,,,運行中
12Q980,恆春工作站,車城鄉田中村中山路166號,農業站,南部,2018/9/20,,屏東縣,120.714425,22.079678,16,,,,運行中
42HA10,萬大發電廠,仁愛鄉親愛村大安路1號,農業站,中部,2018/8/22,,南投縣,121.139639,23.978875,1000,,,,運行中
460010,金六結,,署屬站,東部,1940/1/1,1972/12/31,宜蘭縣,121.774854,24.748182,9.5,,,,已撤站
460020,鹿林山,,署屬站,中部,1947/1/1,1969/12/31,嘉義縣,120.874787,23.481561,2860,,,,已撤站
466880,板橋,板橋區大觀路二段265巷62號,署屬站,北部,1972/3/1,2022/12/31,新北市,121.442017,24.997647,9.7,原為探空站，⾃2002年開始進⾏氣象觀測。因受附近興建合宜住宅影響，⽇照觀測⾃⺠國104年起受⼤樓陰影遮蔽⽽影響觀測資料，影響時間為10⽉⾄隔年3⽉之7時⾄11時，4⽉⾄9⽉之7時⾄8時。2023/01/01遷移⾄新店區，並更名為臺北氣象站新北站區，簡稱新北氣象站。,,,已撤站
466881,新北,新店區莒光路29號,署屬站,北部,2023/1/1,,新北市,121.525196,24.959207,24.5,為臺北氣象站板橋站區(站碼466880)遷移之新站，於2023/01/03上午11時取代舊站開始提供觀測資料。,466880,,運行中
466900,淡水,淡水區中正東路42巷6號,署屬站,北部,1942/1/1,,新北市,121.448906,25.164889,19,,,,運行中
466910,鞍部,北投區陽明山竹子湖路111號,署屬站,北部,1937/1/1,,臺北市,121.529731,25.182586,837.6,,,,運行中
466920,臺北,中正區公園路64號,署屬站,北部,1896-01-01,,臺北市,121.514853,25.037658,6.3,1992/02⾄1997/08因本署改建，觀測地點移⾄臺北師院(466921)。2014⾄2015氣候年報之氣壓計海⾯上⾼度應為30.3m(2014/10/25搬遷，6.6m->30.3m)。,,,運行中
466921,臺北(師院),中正區公園路,署屬站,北部,1992/2/1,1997/9/1,臺北市,121.513225,25.036275,6.1,1997年9⽉遷回原址。,,,已撤站
466930,竹子湖,北投區陽明山竹子湖路2號,署屬站,北部,1937/4/7,,臺北市,121.544547,25.162078,607.1,,,,運行中
466940,基隆,仁愛區港西街6號6樓(海港大樓6樓),署屬站,北部,1946/1/1,,基隆市,121.740475,25.133314,26.7,,,,運行中
466950,彭佳嶼,中正區彭佳嶼,署屬站,北部,1910/1/1,,基隆市,122.079744,25.627975,101.7,,,,運行中
466990,花蓮,花蓮市花崗街24號,署屬站,東部,1910/1/1,,花蓮縣,121.613275,23.975128,16.1,,,,運行中
467050,新屋,新屋區東興路二段946號,署屬站,北部,2013/7/1,,桃園市,121.047492,25.006725,20.6,座標及⾼度於2013/10/09更正。2020/01/01⾄2020/02/15因施⼯部分觀測資料缺值。,,,運行中
467060,蘇澳,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),署屬站,東部,1981/7/1,2023/4/1,宜蘭縣,121.857372,24.596736,24.9,1981/12/1開始觀測。原(467060)站於2023/04/01起變更站碼為(C0UB10)站。,,C0UB10,已撤站
467080,宜蘭,宜蘭市力行路150號,署屬站,東部,1935/1/1,,宜蘭縣,121.756528,24.763975,7.2,,,,運行中
467110,金門,金城鎮金水里西海路一段250號,署屬站,外島,2004/1/1,,⾦⾨縣,118.289281,24.407306,47.9,,,,運行中
467270,田中,田中鎮中潭里4鄰高鐵三路1段167號,署屬站,中部,2020/4/10,,彰化縣,120.581286,23.873803,48.6,,,,運行中
467280,後龍,造橋鄉龍昇村九車籠42-16號,署屬站,中部,2024/5/24,,苗栗縣,120.831834,24.648563,30,於2024/05/24新增，2024/06/12開始觀測。⽬前經緯度及海拔⾼度數值為簡易量測，待後續⼤地量測後會再更新。,,,運行中
467290,古坑,古坑鄉永光村文昌路270號,署屬站,中部,2024/9/26,,雲林縣,120.551906,23.633536,91.9,於2024/09/26開始觀測。經緯度及海拔⾼度數值經中興測量有限公司於114年8⽉重新測量更正完成。,,,運行中
467300,東吉島,望安鄉東吉村156號,署屬站,外島,1962/1/1,,澎湖縣,119.66762,23.25727,43,,,,運行中
467350,澎湖,馬公市新興路2號,署屬站,外島,1896-01-01,,澎湖縣,119.563094,23.565503,10.7,,,,運行中
467410,臺南,中西區公園路21號,署屬站,南部,1897-01-01,,臺南市,120.20492,22.99328,40.8,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,,,運行中
467411,臺南(永康),永康區中正南路654巷40弄1號,署屬站,南部,1998/5/1,2002/1/1,臺南市,120.2367,23.038386,8.1,2002/01/01遷回臺南市。,,,已撤站
467420,永康,永康區鹽行里正南五街520巷88號,署屬站,南部,1941/6/1,,臺南市,120.2367,23.038386,8.1,,,,運行中
467440,高雄,前鎮區明孝里26鄰漁港南二路2號,署屬站,南部,1931/1/1,2022/1/24,⾼雄市,120.315733,22.565992,2.3,⾃2022/01/24起搬遷⾄⾼雄市楠梓區德⺠路28號。,,467441,已撤站
467441,高雄,楠梓區德民路28號,署屬站,南部,2022/1/24,,⾼雄市,120.312516,22.730432,11.8,,467440,,運行中
467480,嘉義,西區北新里海口寮路56號,署屬站,中部,1968/9/1,,嘉義市,120.432906,23.495925,26.9,,,,運行中
467490,臺中,北區精武路295號,署屬站,中部,1896-01-01,,臺中市,120.684075,24.145736,84,2000年⾄2006年氣候年報之海拔⾼度誤植為34m。,,,運行中
467530,阿里山,阿里山鄉中正村4鄰東阿里山73-1號,署屬站,中部,1933/1/1,,嘉義縣,120.813242,23.508208,2413.4,,,,運行中
467540,大武,大武鄉大武街115號,署屬站,東部,1939/1/1,,臺東縣,120.90374,22.35572,8.1,觀測指標08⽇次02始時/觀測設備。於2024/09/13起取消所有⼈⼯觀測項⽬填報，僅保留儀器⾃動量測項⽬。,,,運行中
467550,玉山,信義鄉玉山北峰1號,署屬站,中部,1943/1/1,,南投縣,120.95943,23.48718,3844.8,,,,運行中
467570,新竹,公園路291號,署屬站,北部,1938/1/1,1991/7/1,新⽵市,120.977639,24.800446,32.8,1991/07站址遷往⽵北。,,,已撤站
467571,新竹,竹北市北崙里3鄰光明五街60號,署屬站,北部,1991/7/1,,新⽵縣,121.01455,24.828575,26.9,因應新建新⽵科技園區規劃，新⽵站觀測坪相關設備已遷移站區後⽅新建觀測坪，於2025/12/31更新經緯度及海拔⾼度。,,,運行中
467590,恆春,恆春鎮天文路50號,署屬站,南部,1896-01-01,,屏東縣,120.746339,22.003897,22.3,,,,運行中
467610,成功,成功鎮公民路84號,署屬站,東部,1940/1/1,,臺東縣,121.373428,23.097486,33.5,,,,運行中
467620,蘭嶼,蘭嶼鄉紅頭村2號,署屬站,東部,1940/1/1,,臺東縣,121.55843,22.0369,324,,,,運行中
467650,日月潭,魚池鄉水社村中山路270巷14號,署屬站,中部,1940/1/1,,南投縣,120.90805,23.881325,1017.5,,,,運行中
467660,臺東,臺東市大同路106號,署屬站,東部,1901/1/1,,臺東縣,121.154586,22.752211,9,,,,運行中
467770,梧棲,梧棲區臺灣大道十段2號海港大樓6樓,署屬站,中部,1976/11/1,2022/7/31,臺中市,120.523381,24.256003,31.73,於2020/1/1起，由⼈⼯觀測作業改為⾃動觀測。本站站碼於2022/8/1由467770改為C0FA30。,,C0FA30,已撤站
467780,七股,七股區鹽埕237-11號,署屬站,南部,2001/11/1,2016/6/1,臺南市,120.086153,23.147006,2.9,,,,已撤站
467990,馬祖,南竿鄉四維村6鄰88號,署屬站,外島,2004/1/1,,連江縣,119.923158,26.169467,97.8,,,,運行中
72AI40,桃改樹林分場,樹林區佳園路三段253號,農業站,北部,2019/9/17,,新北市,121.386972,24.944503,40,,,,運行中
72C440,桃園農改,新屋區後庄里16號,農業站,北部,1985/2/1,,桃園市,121.030583,24.950944,70,,,,運行中
72D080,桃改五峰分場,五峰鄉竹林村羅山11號,農業站,北部,1953/7/1,,新⽵縣,121.157167,24.612194,1048,,,,運行中
72D680,桃改新埔分場,新埔鎮義民路一段286巷133弄25號,農業站,北部,2020/10/23,,新⽵縣,121.066111,24.834444,101.9,,,,運行中
72G600,臺中農改,大村鄉田洋村松槐路370號,農業站,中部,1984/5/1,,彰化縣,120.534389,24.003028,19,,,,運行中
72HA00,中改埔里分場,魚池鄉共和村五馬巷11-1號,農業站,中部,2018/8/27,,南投縣,120.963364,23.903208,628,,,,運行中
72K220,南改斗南分場,斗南鎮復興路1-15號,農業站,中部,1987/4/1,,雲林縣,120.477333,23.634556,60,,,,運行中
72L140,朴子分場,朴子市德興里120號,農業站,中部,1961/9/1,2014/4/30,嘉義縣,120.2414,23.4982,9,,,,已撤站
72M360,南改義竹分場,義竹鄉中平村中庄84號,農業站,中部,1987/7/1,,嘉義縣,120.279361,23.360694,6,,,,運行中
72M700,南改鹿草分場,鹿草鄉豐稠村農改場1號,農業站,中部,2018/8/13,,嘉義縣,120.283061,23.416869,14,,,,運行中
72N100,臺南農改,新化區牧場70號,農業站,南部,1924/1/1,,臺南市,120.342194,23.0605,41,,,,運行中
72N240,七股研究中心,七股區十份里海埔48號,農業站,南部,2018/8/20,,臺南市,120.062894,23.081672,2,,,,運行中
72Q010,高雄農改,長治鄉德和村德和路2-6號,農業站,南部,1931/7/1,,屏東縣,120.525889,22.709333,45,,,,運行中
72S200,東改班鳩分場,卑南鄉美農村17號,農業站,東部,1963/10/1,,臺東縣,121.077694,22.829528,240,,,,運行中
72S590,東改賓朗果園,卑南鄉賓朗村改良場路36號,農業站,東部,1989/4/1,,臺東縣,121.071278,22.813889,290,,,,運行中
72T250,花蓮農改,吉安鄉吉安村吉安路二段150號,農業站,東部,1956/3/1,,花蓮縣,121.563889,23.975222,36,,,,運行中
72U480,花改蘭陽分場,三星鄉大義村上將三段81巷6號,農業站,東部,1983/11/1,,宜蘭縣,121.716583,24.686306,27,,,,運行中
72V140,高改旗南分場,旗山區廣福段213號,農業站,南部,1987/7/1,,⾼雄市,120.516667,22.857861,44,,,,運行中
82A750,茶改北部分場,石碇區格頭村北宜路五段12號,農業站,北部,1987/5/1,,新北市,121.631222,24.955778,401,,,,運行中
82C160,茶改場,楊梅區金龍里中興路324號,農業站,北部,1909/1/1,,桃園市,121.185333,24.908472,195,,,,運行中
82H320,茶改中部分場,魚池鄉中山路270巷13號,農業站,中部,1938/1/1,,南投縣,120.913583,23.875611,850,,,,運行中
82H840,茶改南部分場,鹿谷鄉初鄉村仁愛路255號,農業站,中部,1989/10/1,,南投縣,120.7405,23.762528,390,,,,運行中
82S580,茶改東部分場,鹿野鄉龍田村北二路66號,農業站,東部,1984/12/1,,臺東縣,121.130139,22.907694,175,,,,運行中
A2C560,農工中心,中壢區中園路196之1號,農業站,北部,2002/6/1,,桃園市,121.239833,24.985917,121,,,,運行中
A2K360,水試臺西試驗場,臺西鄉中央路271號,農業站,中部,1993/6/1,,雲林縣,120.190522,23.717231,1,,,,運行中
A2K570,古坑花卉中心,古坑鄉麻園村1-10號,農業站,中部,2015/12/31,,雲林縣,120.552392,23.633531,90,,,,運行中
A2K630,臺大雲林校區,虎尾鎮學府西路8號(臺大雲林分部鋤禾館),農業站,中部,2019/8/27,,雲林縣,120.423903,23.730628,45,,,,運行中
A2N290,臺南蘭花園區,後壁區13鄰烏樹里325號,農業站,南部,2019/8/29,,臺南市,120.379661,23.340258,23,,,,運行中
A2Q950,東港,東港鎮豐漁里67號,農業站,南部,1976/2/1,2012/11/16,屏東縣,120.4525,22.4704,5,,,,已撤站
B2E890,畜試北區分所,西湖鄉五湖村埤頭面207-5號,農業站,北部,2016/12/31,,苗栗縣,120.770972,24.527806,90,,,,運行中
B2N890,畜試所,新化區那菝里牧場112號,農業站,南部,1955/1/1,,臺南市,120.336406,23.058972,31,,,,運行中
B2Q810,畜試南區分所,恆春鎮墾丁里牧場路1號,農業站,南部,1945/12/1,,屏東縣,120.802167,21.945583,20,,,,運行中
B2U990,畜試東區分所,五結鄉季水路28之1號,農業站,東部,2019/9/24,,宜蘭縣,121.832561,24.669039,10,,,,運行中
C0A510,大豹,三峽區(三峽李山神宮附近),自動站,北部,1987/5/1,2009/5/16,新北市,121.421547,24.887108,590,,,,已撤站
C0A520,山佳,樹林區中山路3段5號(山佳國民小學校園內),自動站,北部,1987/5/1,,新北市,121.402008,24.974944,48,,,,運行中
C0A530,坪林,坪林區,自動站,北部,1987/5/1,,新北市,121.70975,24.938183,300,,,,運行中
C0A540,四堵,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘),自動站,北部,1987/5/1,2024/5/31,新北市,121.745736,24.8926,401,於2024/05/31撤銷。,,C2A540,已撤站
C0A550,泰平,雙溪區泰平里8鄰大平路43號(泰平國小分校附近),自動站,北部,1987/5/1,,新北市,121.823711,24.971197,422,,,,運行中
C0A560,福山,烏來區福山里李茂岸八號(福山國小旁),自動站,北部,1987/5/1,2024/6/3,新北市,121.502811,24.776203,405,於2024/06/03撤銷。,,C2A560,已撤站
C0A570,桶後,烏來區后桶街49號孝義里5-6k處路旁,自動站,北部,1987/5/1,,新北市,121.597992,24.848222,360,,,,運行中
C0A580,屈尺,新店區屈尺里10鄰屈尺路55號(屈尺國民小學國小校園內),自動站,北部,1987/5/1,2018/10/30,新北市,121.546333,24.922422,70,,,C0AI10,已撤站
C0A590,大尖山,汐止區勤進路,自動站,北部,1987/5/1,2011/8/12,新北市,121.666006,25.051544,326,,,,已撤站
C0A640,石碇,石碇區湳窟34號附近,自動站,北部,2009/12/1,,新北市,121.662917,24.993969,241,原(C1A640)站因擴充為氣象站，於2009/12/1升級為(C0A640)站。,C1A640,,運行中
C0A650,火燒寮,平溪區東勢里,自動站,北部,2009/12/1,2024/5/30,新北市,121.742892,25.002719,287,原(C1A650)站因擴充為氣象站，於2009/12/1升級為(C0A650)站。於2024/05/30撤銷。,C1A650,C2A650,已撤站
C0A660,瑞芳,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內),自動站,北部,2009/12/1,2024/5/27,新北市,121.801147,25.113169,97,原(C1A660)站因擴充為氣象站，於2009/12/1升級為(C0A660)站。於2024/05/27撤銷。,C1A660,C2A660,已撤站
C0A680,五股,五股區248成泰路二段49巷15號(五股國中校園內),自動站,北部,2009/12/1,2016/7/2,新北市,121.434975,25.083353,95,原(C1A680)站因擴充為氣象站，於2009/12/1升級為(C0A680)站。,C1A680,,已撤站
C0A710,林口,林口區民治路25號(林口國中校園內),自動站,北部,2009/12/1,2017/1/3,新北市,121.378217,25.076364,238,原(C1A710)站因擴充為氣象站，於2009/12/1升級為(C0A710)站。,C1A710,,已撤站
C0A770,科教館,士林區士商路189號（士林科教館樓頂）,自動站,北部,2021/12/13,,臺北市,121.516507,25.096356,60,,,,運行中
C0A860,大坪,萬里區溪底里香員林6-3號,自動站,北部,1993/6/4,,新北市,121.632969,25.165914,362,,,,運行中
C0A870,五指山,汐止區國軍示範公墓旁之復興廣播電台門口外,自動站,北部,1993/8/20,,新北市,121.608692,25.132153,685,,,,運行中
C0A880,福隆,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方,自動站,北部,1993/6/30,2024/5/28,新北市,121.942083,25.017842,6,於2024/05/28撤銷。,,C2A880,已撤站
C0A890,雙溪,雙溪區雙溪里社區活動中心旁花圃內,自動站,北部,1993/6/30,,新北市,121.864242,25.036003,40,,,,運行中
C0A920,富貴角,石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近),自動站,北部,1994/10/19,2024/5/29,新北市,121.565258,25.263783,196,於2024/05/29撤銷。,,C2A920,已撤站
C0A930,三和,金山區兩湖里(距兩湖分校約300公尺),自動站,北部,1994/8/31,2014/3/20,新北市,121.59407,25.23489,200,因移位，於2014/4/1更變為(C0A931)站。,,C0A931,已撤站
C0A931,三和,金山區三和國小兩湖分校,自動站,北部,2014/4/1,,新北市,121.595236,25.233153,216,原(C0A930)站因移位，於2014/4/1更變為(C0A931)站。,C0A930,,運行中
C0A940,金山,金山區中興段404地號(磺港社區活動中心內),自動站,北部,1994/8/29,,新北市,121.643967,25.223628,49,,,,運行中
C0A950,鼻頭角,瑞芳區鼻頭角燈塔旁,自動站,北部,1994/8/29,,新北市,121.923372,25.129036,60,,,,運行中
C0A970,三貂角,貢寮區三貂角燈塔旁,自動站,北部,1995/6/8,,新北市,122.002058,25.007606,96,本站於2017/10/23進⾏儀器汰換，於2017/12/1完成驗收。,,,運行中
C0A980,社子,士林區延平北路九段212號(臺北海洋科技大學內),自動站,北部,1997/9/1,,臺北市,121.469681,25.109508,11,,,,運行中
C0A990,大崙尾山,內湖區大崙尾山(內雙溪森林公園),自動站,北部,1997/9/1,2016/6/17,臺北市,121.573586,25.106275,463,,,,已撤站
C0A9A0,大直,中山區北安路420號(大直高中內),自動站,北部,1997/9/1,2020/8/19,臺北市,121.542853,25.078047,24,,,,已撤站
C0A9B0,石牌,北投區石牌路1段139號(石牌國中內),自動站,北部,1997/8/16,2019/9/9,臺北市,121.513817,25.116342,7,原(C0A9B0)站因移位，於2019/9/10變更為(C0AI40)站。,,C0AI40,已撤站
C0A9C0,天母,士林區天母東路116號(三玉國小內),自動站,北部,1997/8/16,,臺北市,121.537169,25.117494,35,,,,運行中
C0A9D0,永和,永和區保生路25號(永平國民小學校園內),自動站,北部,1997/9/1,2013/12/3,新北市,121.50475,25.008944,13,,,,已撤站
C0A9E0,士林,士林區延平北路6段308號(社子國小內),自動站,北部,1997/8/21,2021/12/24,臺北市,121.503019,25.090253,26,,,,已撤站
C0A9F0,內湖,內湖區內湖路一段520號(內湖高工內),自動站,北部,1997/8/21,,臺北市,121.57545,25.079422,35,,,,運行中
C0A9G0,南港,南港區興南路62號(東新國小內),自動站,北部,1997/8/21,2018/6/7,臺北市,121.602906,25.055431,42,,,,已撤站
C0A9H0,信義,信義區莊敬路423巷8弄1號(信義國中內),自動站,北部,1997/8/21,2009/3/31,臺北市,121.564639,25.038094,51,,,,已撤站
C0A9I0,三重,三重區中正北路107號(明志國中校園內),自動站,北部,1997/8/16,2010/9/29,新北市,121.488489,25.064028,18,因移位，於2010/10/11更變為(C0A9I1)站。,,C0A9I1,已撤站
C0A9I1,三重,三重區集美街10號(集美國小校園內),自動站,北部,2010/10/11,2018/6/27,新北市,121.488492,25.056667,18,原(C0A9I0)站因移位，於2010/10/11更變為(C0A9I1)站。原(C0A9I1)站因移位，於2019/8/2更變為(C0AI30)站。,C0A9I0,C0AI30,已撤站
C0AC40,大屯山,北投區湖田段461-6地號(民航局大屯山助航臺),自動站,北部,2005/11/25,,臺北市,121.522408,25.175675,1079,,,,運行中
C0AC60,三峽,三峽區復興路238號(三峽國中校園內),自動站,北部,2009/4/9,,新北市,121.369728,24.939025,55,,,,運行中
C0AC70,信義,信義區市府路1號(台北市政府頂樓),自動站,北部,2009/3/31,,臺北市,121.564597,25.037822,71,,,,運行中
C0AC80,文山,文山區木柵路4段159巷14-1號(博嘉國小校園內),自動站,北部,2009/12/1,,臺北市,121.575728,25.00235,40,原(C1AC80)站因擴充為氣象站，於2009/12/1升級為(C0AC80)站。,C1AC80,,運行中
C0AC90,中和,中和區景新街467巷37號(景新國小校園內),自動站,北部,2009/2/11,2011/7/22,新北市,121.516,24.99016,32,原(C1AC90)站因擴充為氣象站，於2009/12/1升級為(C0AC90)站。,C1AC90,,已撤站
C0ACA0,新莊,新莊區中和街193號(榮富國小校園內),自動站,北部,2009/12/1,,新北市,121.446756,25.051478,25,原(C1ACA0)站因擴充為氣象站，於2009/12/1升級為(C0ACA0)站，站址搬遷⾄同校⾏政⼤樓西側。,C1ACA0,,運行中
C0AD00,三芝,三芝區育英路22號(三芝國小內),自動站,北部,2009/8/25,2024/6/14,新北市,121.501917,25.258131,86,於2024/06/14撤銷。,,,
C0AD10,八里,八里區中山路二段338號(八里國小內),自動站,北部,2009/8/19,,新北市,121.403947,25.150211,27,,,,運行中
C0AD20,深坑,深坑區文化街45號(深坑國小內),自動站,北部,2009/8/14,2017/7/15,新北市,121.617556,25.001381,57,,,,已撤站
C0AD30,蘆洲,蘆洲區三民路96號(三民高中內),自動站,北部,2009/9/1,,新北市,121.472331,25.086594,20,,,,運行中
C0AD40,土城,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂),自動站,北部,2009/9/5,,新北市,121.445169,24.973208,32,,,,運行中
C0AD50,鶯歌,鶯歌區尖山埔路106號(鶯歌國小內),自動站,北部,2009/9/3,,新北市,121.346294,24.951533,84,,,,運行中
C0AG80,中和,中和區錦和路163號(錦和高中內),自動站,北部,2021/10/18,,新北市,121.491792,24.991622,48,,,,運行中
C0AG90,中和,中和區錦和路350號(錦和運動公園),自動站,北部,2011/7/23,2021/8/3,新北市,121.490444,24.992647,25,,,,已撤站
C0AH00,汐止,汐止區大同路二段394號(汐止國中),自動站,北部,2011/8/8,,新北市,121.658778,25.066881,38,,,,運行中
C0AH10,永和,永和區永平路205號(永平高中校園內),自動站,北部,2013/12/24,,新北市,121.508111,25.01125,30,,,,運行中
C0AH30,五分山,瑞芳區靜安路四段1巷1號,自動站,北部,2015/10/8,,新北市,121.780794,25.07125,755,,,,運行中
C0AH40,平等,士林區平菁街101號(平等國小),自動站,北部,2016/6/19,,臺北市,121.577086,25.129142,426,,,,運行中
C0AH50,林口,林口區仁愛路二段173號(林口高中內),自動站,北部,2017/1/4,,新北市,121.38084,25.072181,275,,,,運行中
C0AH70,松山,松山區敦化北路1號(臺北市松山運動中心),自動站,北部,2017/4/26,,臺北市,121.55042,25.04871,34,因⾬量筒較晚驗收完成，2017/04/26⾄2017/08/17不提供⾬量資料。,,,運行中
C0AH80,深坑,深坑區文山路1段35號(深坑消防分隊樓頂),自動站,北部,2017/8/2,,新北市,121.628328,25.002703,68,,,,運行中
C0AH90,福山植物園,烏來區福山植物園內(生活植物區之民俗植物區觀測坪),自動站,北部,2018/3/23,,新北市,121.58135,24.760717,660,,,,運行中
C0AI00,五股,五股區外寮路12號,自動站,北部,2018/7/10,,新北市,121.42728,25.07445,188,,,,運行中
C0AI10,屈尺,新店區屈尺路83號(衛福部北區老人之家),自動站,北部,2018/11/20,,新北市,121.54475,24.92184,76,,C0A580,,運行中
C0AI20,白沙灣,石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）,自動站,北部,2018/11/28,,新北市,121.519058,25.283128,25,,,,運行中
C0AI30,三重,三重區環河南路100號,自動站,北部,2019/8/2,,新北市,121.500629,25.057328,26,原(C0A9I1)站因移位，於2019/8/2變更為(C0AI30)站。,C0A9I1,,運行中
C0AI40,石牌,北投區石牌路一段139號(石牌國中自強樓頂樓),自動站,北部,2019/9/10,,臺北市,121.513139,25.115597,35,原(C0A9B0)站因移位，於2019/9/10變更為(C0AI40)站。,C0A9B0,,運行中
C0AJ10,澳底,貢寮區新港街128號(澳底第16海巡隊樓頂),自動站,北部,2022/3/9,2023/6/16,新北市,121.927272,25.057107,20,原(C0AJ10)站因移位，於2023/06/16變更為(C0AJ90)站。,,C0AJ90,已撤站
C0AJ20,野柳,萬里區野柳村151-1號(野柳守望哨雷達塔),自動站,北部,2022/3/9,,新北市,121.690021,25.20703,50,,,,運行中
C0AJ30,淡水觀海,淡水區觀海路251號(淡水第2海巡隊樓頂),自動站,北部,2022/3/9,,新北市,121.408616,25.184591,22,,,,運行中
C0AJ40,石門,石門區草里里草埔尾5號(黃金海岸高爾夫球場),自動站,北部,2022/3/9,,新北市,121.601198,25.273672,154,,,,運行中
C0AJ50,水湳洞,瑞芳區水湳洞段00197-000建號(水湳洞犬區隊),自動站,北部,2022/3/9,,新北市,121.862238,25.123695,30,,,,運行中
C0AJ60,六塊厝,淡水區,自動站,北部,2022/12/26,,新北市,121.4481,25.24,13,,,,運行中
C0AJ70,田寮,三芝區古庄里83之1號,自動站,北部,2022/12/26,,新北市,121.4886,25.2698,21,,,,運行中
C0AJ80,板橋,板橋區僑中一街1號,自動站,北部,2023/1/3,,新北市,121.4489,25.0107,38,配合板橋有⼈站遷移，2023/01/03上午11時開始⾃動觀測。,,,運行中
C0AJ90,澳底,貢寮區真理里延平街10號(澳底國小),自動站,北部,2023/6/16,,新北市,121.9253,25.0552,23,原(C0AJ10)站因移位，於2023/06/16變更為(C0AJ90)站。,C0AJ10,,運行中
C0AK10,太平里,林口區太平里汕頭32號,自動站,北部,2025/2/5,,新北市,121.364899,25.134937,18,,,,運行中
C0AK30,硬漢嶺,觀音山硬漢嶺前奉茶基地上方平台,自動站,北部,2025/4/7,,新北市,121.426372,25.136097,607,,CAAH70,,運行中
C0B010,七堵,七堵區東新街22號(基隆商工樓頂),自動站,北部,2018/6/23,,基隆市,121.71713,25.094819,38,,,,運行中
C0B020,基隆嶼,中正區基隆嶼,自動站,北部,2018/10/26,,基隆市,121.78391,25.19141,86,,,,運行中
C0B040,大武崙,安樂區武聖街144弄50號(大武崙安檢所樓頂),自動站,北部,2022/3/9,,基隆市,121.706993,25.166676,15,,,,運行中
C0B050,八斗子,中正區漁港1街9號(八斗子安檢所樓頂),自動站,北部,2022/3/9,,基隆市,121.79167,25.144754,5,,,,運行中
C0B060,暖暖,暖暖區東碇路15號（暖暖運動公園內）,自動站,北部,2023/1/14,,基隆市,121.7403,25.0957,83,,,,運行中
C0C450,新屋,新屋區新屋里(衛生署桃園醫院新屋分院北面停車場邊),自動站,北部,1987/6/1,2011/9/21,桃園市,121.106831,24.971294,92,,,,已撤站
C0C460,復興,復興區澤仁里中正路248號(介壽國民中學校園內),自動站,北部,2007/10/1,,桃園市,121.352281,24.820208,482,原(C1C460)站因擴充為氣象站，於2007/10/1升級為(C0C460)站。,C1C460,,運行中
C0C480,桃園,桃園區成功路二段144號(桃園高級農工職業學校校園內),自動站,北部,2008/1/1,2025/12/31,桃園市,121.323172,24.992425,105,本站原為⾬量站(C1C480)，於2008/1/1擴充為氣象站，變更站碼為(C0C480)。原(C0C480)⾃動氣象站，於2026/03/16完成儀器汰換，轉為(C2C480)農業站。,C1C480,C2C480,已撤站
C0C490,八德,八德區興仁里中山路94號(八德國民小學校園內),自動站,北部,2011/12/1,,桃園市,121.283289,24.928708,157,原(C1C490)站因擴充為氣象站，於2011/12/1升級為(C0C490)站。,C1C490,,運行中
C0C500,楊梅,楊梅區高山里11鄰梅高路838號(楊梅高中校門口對面空地),自動站,北部,2011/12/1,2013/6/29,桃園市,121.148272,24.920875,181,原(C1C500)站因擴充為氣象站，於2011/12/1升級為(C0C500)站。,C1C500,,已撤站
C0C520,中壢,中壢區五權里(中央大學校園內),自動站,北部,2007/10/1,2017/12/20,桃園市,121.185253,24.967564,151,原(C1C520)站因擴充為氣象站，於2007/10/1升級為(C0C520)站。,C1C520,,已撤站
C0C540,大園,大園區埔心里25鄰中正東路1段189巷35號(埔心國民小學),自動站,北部,2008/1/1,2022/4/7,桃園市,121.225958,25.04775,46,原(C1C540)站因擴充為氣象站，於2008/1/1升級為(C0C540)站，2017/10/27站名由埔⼼變更為⼤園。,C1C540,,已撤站
C0C570,新屋,新屋區東興路二段946號,自動站,北部,2008/1/1,2014/9/27,桃園市,121.04755,25.00756,5,原(C1C570)站因擴充為氣象站，於2008/1/1升級為(C0C570)站。,C1C570,,已撤站
C0C580,新豐,新豐鄉,自動站,北部,2007/5/11,2008/2/24,新⽵縣,120.985423,24.868786,143,原(C0C580)站因縣市代碼不符，於2008/2/25重新編碼為(C0D590)站。,,C0D590,已撤站
C0C590,觀音,觀音區廣福里10-42號(逸福農場),自動站,北部,2007/6/21,2025/10/23,桃園市,121.153317,25.027072,72,原氣象站(C0C590)於2025/11/28升級為農業站(C2C590)。,,C2C590,已撤站
